夜月一帘幽梦，春风十里柔情。,/mingju/juv_3534f4ba7340.aspx,秦观《八六子·倚危亭》,/shiwenv_225cb1230cb7.aspx
枯藤老树昏鸦，小桥流水人家，古道西风瘦马。,/mingju/juv_6d2f133c6ce6.aspx,马致远《天净沙·秋思》,/shiwenv_9dcf133d25cc.aspx
落花人独立，微雨燕双飞。,/mingju/juv_2ba9e30b32fc.aspx,晏几道《临江仙·梦后楼台高锁》,/shiwenv_47c89d71e6be.aspx
行到水穷处，坐看云起时。,/mingju/juv_fc7207b13c00.aspx,王维《终南别业 / 初至山中 / 入山寄城中故人》,/shiwenv_cd7027786b98.aspx
沾衣欲湿杏花雨，吹面不寒杨柳风。,/mingju/juv_6ee372efe8e5.aspx,志南《绝句》,/shiwenv_f20c6e290a03.aspx
君埋泉下泥销骨，我寄人间雪满头。,/mingju/juv_6b7c41fd17b0.aspx,白居易《梦微之》,/shiwenv_de2ba4e71def.aspx
空山新雨后，天气晚来秋。,/mingju/juv_e3eb683f18f1.aspx,王维《山居秋暝》,/shiwenv_44ba4afb80db.aspx
仰天大笑出门去，我辈岂是蓬蒿人。,/mingju/juv_ce9bb1f42970.aspx,李白《南陵别儿童入京》,/shiwenv_b6447ef32a25.aspx
今人不见古时月，今月曾经照古人。,/mingju/juv_c5e127e5260b.aspx,李白《把酒问月·故人贾淳令予问之》,/shiwenv_837510c0a7c4.aspx
凤凰台上凤凰游，凤去台空江自流。,/mingju/juv_46b1773abd1b.aspx,李白《登金陵凤凰台》,/shiwenv_8820c89ca4e5.aspx
黄沙百战穿金甲，不破楼兰终不还。,/mingju/juv_981a801702c2.aspx,王昌龄《从军行七首·其四》,/shiwenv_d1129db241ec.aspx
休对故人思故国，且将新火试新茶。诗酒趁年华。,/mingju/juv_16a8503dcff7.aspx,苏轼《望江南·超然台作》,/shiwenv_b8148e70fea6.aspx
直道相思了无益，未妨惆怅是清狂。,/mingju/juv_bc920102e863.aspx,李商隐《无题·重帏深下莫愁堂》,/shiwenv_cad3c6bebe91.aspx
红酥手，黄縢酒，满城春色宫墙柳。,/mingju/juv_9a059faa87fc.aspx,陆游《钗头凤·红酥手》,/shiwenv_d5ac0bd52789.aspx
云想衣裳花想容，春风拂槛露华浓。,/mingju/juv_6a70f9487b2a.aspx,李白《清平调·其一》,/shiwenv_170df91879a2.aspx
独立寒秋，湘江北去，橘子洲头。,/mingju/juv_c2d019fd784c.aspx,毛泽东《沁园春·长沙》,/shiwenv_7055921827d2.aspx
宁可枝头抱香死，何曾吹落北风中。,/mingju/juv_69dc4b4b29db.aspx,郑思肖《画菊》,/shiwenv_0a65b1091d79.aspx
同是天涯沦落人，相逢何必曾相识！,/mingju/juv_d8ddaa0f0073.aspx,白居易《琵琶行 / 琵琶引》,/shiwenv_0581b0ba8bb4.aspx
劝君莫惜金缕衣，劝君惜取少年时。,/mingju/juv_981ed116afdd.aspx,杜秋娘《金缕衣》,/shiwenv_d5cea0c3607d.aspx
被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。,/mingju/juv_95d7f6366cf9.aspx,纳兰性德《浣溪沙·谁念西风独自凉》,/shiwenv_f9a34574e44a.aspx
人言落日是天涯，望极天涯不见家。,/mingju/juv_9b295215226f.aspx,李觏《乡思》,/shiwenv_69c7960d910a.aspx
青山依旧在，几度夕阳红。,/mingju/juv_12bca7c2bfc5.aspx,杨慎《临江仙·滚滚长江东逝水》,/shiwenv_284e20a25958.aspx
采得百花成蜜后，为谁辛苦为谁甜。,/mingju/juv_36010f47cffb.aspx,罗隐《蜂》,/shiwenv_0cf974c0b70a.aspx
桃之夭夭，灼灼其华。,/mingju/juv_e2608d9927eb.aspx,佚名《桃夭》,/shiwenv_6ba04da3fdc1.aspx
小楼一夜听春雨，深巷明朝卖杏花。,/mingju/juv_dc656a53003f.aspx,陆游《临安春雨初霁》,/shiwenv_0ccd54b5b58a.aspx
春蚕到死丝方尽，蜡炬成灰泪始干。,/mingju/juv_f70bff842bd7.aspx,李商隐《无题·相见时难别亦难》,/shiwenv_1a4c484f9364.aspx
桃李春风一杯酒，江湖夜雨十年灯。,/mingju/juv_5c2785522014.aspx,黄庭坚《寄黄几复》,/shiwenv_cbbb4bd0d351.aspx
换我心，为你心，始知相忆深。,/mingju/juv_000c84d803a3.aspx,顾夐《诉衷情·永夜抛人何处去》,/shiwenv_cda0e25b4442.aspx
男儿何不带吴钩，收取关山五十州。,/mingju/juv_91e59c42f4bf.aspx,李贺《南园十三首·其五》,/shiwenv_16e9c75bf6d1.aspx
夜来幽梦忽还乡。小轩窗。正梳妆。相顾无言，惟有泪千行。,/mingju/juv_d9c2c1e96995.aspx,苏轼《江城子·乙卯正月二十日夜记梦》,/shiwenv_567fcf6ffefb.aspx
多情自古伤离别，更那堪冷落清秋节！,/mingju/juv_15b7b2d9bf83.aspx,柳永《雨霖铃·寒蝉凄切》,/shiwenv_4d795944b856.aspx
海上生明月，天涯共此时。,/mingju/juv_f3555a375e78.aspx,张九龄《望月怀远》,/shiwenv_7cc200edc65e.aspx
醉后不知天在水，满船清梦压星河。,/mingju/juv_e613ae408360.aspx,唐温如《题龙阳县青草湖》,/shiwenv_38871dbf575d.aspx
寂寞空庭春欲晚，梨花满地不开门。,/mingju/juv_a07f4cdbc01c.aspx,刘方平《春怨》,/shiwenv_8ab3c688ad04.aspx
闻君有两意，故来相决绝。,/mingju/juv_8b35983ecf66.aspx,卓文君《白头吟》,/shiwenv_a416ac373919.aspx
莫愁前路无知己，天下谁人不识君。,/mingju/juv_4b313ced2ebd.aspx,高适《别董大二首》,/shiwenv_b7289fb613af.aspx
人间四月芳菲尽，山寺桃花始盛开。,/mingju/juv_c5391ea08886.aspx,白居易《大林寺桃花》,/shiwenv_5e26797704a7.aspx
江碧鸟逾白，山青花欲燃。,/mingju/juv_12e137130c19.aspx,杜甫《绝句二首》,/shiwenv_03b34d6fdc1b.aspx
生当复来归，死当长相思。,/mingju/juv_c038c4f9e59d.aspx,佚名《留别妻》,/shiwenv_2dd3daf34fd9.aspx
醉卧沙场君莫笑，古来征战几人回？,/mingju/juv_0f7e9ac9fd6b.aspx,王翰《凉州词二首·其一》,/shiwenv_9312f5349cd7.aspx
落霞与孤鹜齐飞，秋水共长天一色。,/mingju/juv_3549fcfbb6ef.aspx,王勃《滕王阁序》,/shiwenv_ce802de625e5.aspx
心似双丝网，中有千千结。,/mingju/juv_f1c0336ec217.aspx,张先《千秋岁·数声鶗鴂》,/shiwenv_7a26145edb34.aspx
月上柳梢头，人约黄昏后。,/mingju/juv_36a92508be17.aspx,欧阳修《生查子·元夕》,/shiwenv_c616fab1b377.aspx
当年不肯嫁春风，无端却被秋风误。,/mingju/juv_4397b8eff291.aspx,贺铸《芳心苦·杨柳回塘》,/shiwenv_6e82b4129347.aspx
美人自刎乌江岸，战火曾烧赤壁山，将军空老玉门关。,/mingju/juv_7eea948634e4.aspx,张可久《卖花声·怀古》,/shiwenv_5b5839840693.aspx
东风夜放花千树。更吹落、星如雨。,/mingju/juv_3a94bee2177d.aspx,辛弃疾《青玉案·元夕》,/shiwenv_51aa3a553057.aspx
日日思君不见君，共饮长江水。,/mingju/juv_c54d1e09a7bd.aspx,李之仪《卜算子·我住长江头》,/shiwenv_d096804a25ff.aspx
风萧萧兮易水寒，壮士一去兮不复还。,/mingju/juv_508c820f0a25.aspx,佚名《荆轲歌 / 渡易水歌》,/shiwenv_60ff036cbc0e.aspx
